text,label
"You are tasked with designing a novel algorithm for optimizing resource allocation in cloud computing environments to minimize energy consumption while maximizing performance. Develop a detailed plan outlining the algorithm's design principles, implementation steps, and evaluation criteria for assessing its efficiency and scalability.",Create
Define compound interest.,Remember
Derive the expression for the active state of pressure at any point for a submerged cohesionless backfill along with pressure diagram.,Analyze
How would you develop a new software platform for online collaboration in education?,Create
Make a scrapbook about the areas of study.,Apply
Explain with suitable example how binary tree can be represented using.,Understand
What methods are used to measure microbial population.,Remember
Compare and contrast authoritarian and democratic regimes.,Understand
Explain the working of circular queue.,Remember
How test strategies for object oriented software are different from that of conventional software?,Analyze
"As opposed other curves, justify with explanation why Average Fixed Costs
	(AFC) is negatively sloped.",Evaluate
Apply the principles of environmental science to analyze the impact of deforestation on ecosystems.,Apply
Explain static and dynamic tree tables with suitable example.,Analyze
Discuss the regulation of ATCase which is an allosteric enzyme. ,Understand
How could old educational methods be combined to create an effective learning approach?,Create
Explain coriolis component of acceleration with neat sketch.,Remember
Apply how semaphores and shared memory methods can be deployed to execute a particular task.,Apply
What are inline functions?,Remember
You are setting up a secure Wi-Fi network for a campus environment. Explain how you would apply network segmentation and VLAN configuration to isolate user traffic and protect sensitive data.,Apply
Use statistical analysis to determine the trends in stock market prices.,Apply
Tabulate the results of a survey you recently conducted.,Remember
Explain FOUR (4) factors in the Globalization of Financial Markets. ,Understand
Can you create an illustrated diagram of the nitrogen cycle?,Analyze
Tell how Phillip kept himself alive after Timothy died.,Understand
"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",Understand
Paraphrase the scientific principle.,Understand
List and explain various Privilege Instructions.,Remember
What is Curie temperature? Explain Ferro-magnetic behaviour below critical temperature.,Remember
Hypothesize an approach for improving the energy efficiency of wireless power transfer systems for charging IoT devices and wearable electronics.,Create
A string is stretched and fastened to two points L apart.,Apply
A simply supported beam of length 2m is supported at its end and a u.,Apply
"Recall the purpose of the ""virtual"" keyword in C++?",Remember
Can you predict the outcome of the stock market based on historical data?,Apply
"A healthcare organization is considering outsourcing its IT infrastructure to a managed service provider. Evaluate the suitability of outsourcing IT services based on factors such as data security, regulatory compliance, and cost-effectiveness. Recommend vendor selection criteria and service level agreements to ensure quality of service and protection of sensitive patient information.",Evaluate
Decide which course of action was most effective ,Evaluate
Judge the reliability of a network slicing framework in enabling network virtualization and service customization for different applications.,Evaluate
Solve a mechanical engineering problem involving stress and strain calculations.,Apply
Explore the role of various fields in Page Level Protection.,Remember
Devise a system for automatically generating personalized recommendations for online shoppers based on their browsing and purchasing history.,Create
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Understand
Discuss in detail volcanoes.,Remember
Quote a proverb from a culture other than your own.,Remember
Design a machine to perform a specific task.,Create
Derive blending function of Bezier curve.,Remember
With neat pin diagram explain function of each pin of IC 741,Remember
"A telecommunications company is evaluating the security measures of its 5G network infrastructure against potential cyber threats. Critically assess the effectiveness of current security protocols, including encryption standards, authentication mechanisms, and intrusion detection systems. Propose enhancements to strengthen network security and protect against emerging threats such as ransomware and DDoS attacks.",Evaluate
"You are tasked with developing a sustainable transportation infrastructure for a metropolitan city to promote multimodal mobility and reduce traffic congestion. Create an integrated transportation network that includes public transit systems, bicycle lanes, pedestrian walkways, and smart mobility solutions such as ride-sharing and electric scooters, incorporating traffic simulation models, travel demand forecasting, and accessibility analysis for efficient and equitable urban transportation planning.",Create
"Your company is developing a waste management plan for a construction project to minimize environmental impacts and comply with regulatory requirements. Compare the waste reduction strategies (e.g., source reduction, recycling, waste-to-energy conversion) and recommend measures for optimizing waste management practices and reducing construction waste generation.",Analyze
Define package and interfaces in Java?,Remember
Invent a method for automatically optimizing cloud resource utilization and cost allocation based on application performance and user demand patterns.,Create
Develop a SQA Plan for a software development project which is defined in the attached document.,Create
Differentiate between Latch and Flip Flop.,Analyze
Quote the definition of a dangling reference in programming?,Remember
Timber and plastic are common materials used in construction industry. Elaborate FIVE (5) specific applications for each material in building construction. ,Understand
How do you express the life of a bearing?,Remember
How do the mitochondria maintain the chemiosmotic gradient used for the electron transport chain?,Analyze
Demonstrate the steps of a biological experiment through a hands-on activity.,Apply
List the advantages of using pre-stressed concrete over reinforced concrete in construction?,Remember
What steps can you take to identify missing information in a complex financial analysis?,Analyze
"A manufacturing company is assessing the cybersecurity risks associated with industrial IoT (IIoT) devices deployed in smart factories. Evaluate the security vulnerabilities of IIoT devices, including firmware vulnerabilities, supply chain risks, and unauthorized access points. Recommend security controls and best practices to mitigate IIoT-related threats and ensure operational resilience in industrial environments.",Evaluate
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",Apply
Explain with a neat diagram CMOS NOR gate.,Remember
How do you make a reasoned argument for selecting a particular smartphone brand?,Evaluate
"Illustrate with a labelled drawing the pathway of nitrate assimilation in leaf mesophyll cells. In your answer, discuss the origin of nitrate that is available to the mesophyll cells, the energy requirements of nitrate assimilation, the end products, and the fate of unassimilated nitrate. ",Understand
Use regression analysis to determine the factors affecting customer satisfaction.,Apply
Discuss any three terminology related to psychometric.,Remember
With the help of diagram explain the main concept of solar thermal power plant?,Analyze
How do you use historical data to predict future economic trends?,Apply
A coin is tossed 160 times and following are expected and observed frequencies for number of heads.,Apply
"Contrast the features and scalability of different web application firewalls (e.g., proxy-based WAF, cloud-based WAF, appliance-based WAF) in protecting against web-based attacks.",Analyze
Compare BCNF and 3NF.,Analyze
Derive the e.,Analyze
Write short note on external sort.,Remember
How would you classify the different types of economic systems?,Analyze
Explain Darlington connection and explain how it improves the current gain.,Understand
List FIVE (5) guidelines for spokesperson to follow during the media interview. ,Remember
Explain with example hash functions.,Remember
Can you list the planets in our solar system?,Remember
Evaluate ()11 00xyd x d y +ï²ï² using Simpsons 1/3rd rule with h=k=1/2,Apply
Paraphrase the mathematical theorem.,Understand
Explain rotation about an arbitrary axis in 3D.,Apply
"Design a personalized recommendation system for e-commerce platforms that takes into account user preferences, browsing history, and purchase behavior.",Create
Analyze the ethical considerations surrounding the collection and use of personal data by social media platforms.,Apply
"List any FIVE (5) themes identified by Tom Peters and Robert Waterman for âexcellent 
organizations"". ",Remember
Determine if a characters actions were heroic ,Evaluate
A hollow circular shaft has an external diameter of 120 mm and internal diameter of 100 mm.,Apply
Consider you're analyzing customer sentiment from social media data. Describe the natural language processing (NLP) techniques and sentiment analysis algorithms you would use to extract insights and visualize trends from text data.,Understand
Can you generalize from historical political shifts to predict future geopolitical trends?,Create
Retell the steps to perform soil compaction testing using a Proctor compactor?,Remember
Recall your last vacation and the places you visited.,Remember
Propose a multimedia presentation for UTAR to promote bachelor's degree courses to potential applicants.,Create
How did Chinese newspapers differ from US,Analyze
Determine the rate constant of a chemical reaction through experimental data.,Apply
Name three 19th-century women English authors.,Remember
Discuss types of analysis for fuel.,Analyze
Compare Calliope with Howie. Use the word bank.,Understand
Explain concept of enception handling in Java with suitable example.,Understand
Explain with an energy band diagram how an electron-hole pair (EHP) is formed in a semiconductor. ,Understand
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluate
Rank the priority of tasks for the project team.,Evaluate
State and write properties of electrical carbon materials and materials used for Lamp Filaments.,Remember
Criticize the fairness and transparency of algorithmic decision-making systems used in online lending and credit scoring.,Evaluate
Explain with neat diagram the external hardware interrupts of PIC18 microcontroller in detail.,Analyze
You are designing a cooling system for an electric vehicle battery pack. Explain how you would apply heat transfer principles and computational fluid dynamics (CFD) simulations to optimize the thermal management system for efficient heat dissipation and battery performance.,Apply
Derive an expression of velocity and shear stress distribution for laminar flow through pipe.,Analyze
"Construct a product structure. Identify components. 
parents, and components.",Create
Define Magnitude response and phase response.,Remember
Briefly explain why does surface tension remain constant once critical micelle concentration (CMC) is reached.,Understand
Compare the architectural styles of two historical periods and contrast their characteristics.,Understand
Describe  the  differences  between  HTTP  session  listeners  and  servlet  request listeners.,Understand
Let's discuss the challenges of space exploration.,Understand
Explain the application of OPAMP as square wave generator.,Understand
Explain the function of an electromechanical relay and draw an interfacing diagram of relay with microcontroller 8051 with suitable driver circuit.,Remember
Measure the customer satisfaction level.,Evaluate
Explain working of IC 555 as monostable multivibrator.,Understand
Critique the interpretability of a machine learning model in explaining its decision-making process.,Evaluate
Can you recite the periodic table of elements?,Remember
"Explain the concept of cross-validation in machine learning, discussing its role in evaluating model performance and tuning hyperparameters.",Understand
Explain the operation of Dual Slope ADC.,Remember
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Understand
Recall the characteristics of a reinforced concrete column in structural design?,Remember
"Construct a product structure. Identify components. 
parents, and components.",Create
Derive the torque equation for the three-phase induction motor?,Analyze
Write a pseudo code for basic operation of stack.,Apply
Can you see a possible solution to . . .?,Create
What ideas can you add to...?,Create
List the characteristics of a circular linked list?,Remember
Can you tabulate the data from an experiment you conducted in a lab?,Remember
Critique the performance of green building materials in improving energy efficiency and indoor air quality.,Evaluate
Recite the multiplication table for the number seven.,Remember
Write a C++ statement to declare a variable of type musicType name MyTune.,Apply
Determine the activation energy of a chemical reaction through experimental data.,Apply
Categorize the different types of marketing strategies.,Analyze
Recognize subjectivity in a debate about the best form of exercise.,Evaluate
Select the relevant case studies for your research project.,Analyze
"What associations are there with the term ""innovation""?",Understand
"Compare the principles of analog and digital modulation techniques, discussing their advantages and applications in communication systems.",Understand
List and explain the reason why the aggregate demand curve is downward slopping.,Understand
Debate the ethical implications of using autonomous underwater vehicles (AUVs) for marine exploration and research.,Evaluate
How might old architectural materials be combined to create sustainable structures?,Create
Consider the following processes arrival time and burst time as shown below in table. Calculate average waiting time and average turn aroundtime if Quantum time is 2. Use Round Robin Algorithm. Draw GANTTchart.,Apply
Give FOUR (4) advantages of multimedia application in education.,Remember
Explain the construction and working principle of BLDC motor.,Understand
"Describe the function of the ""nullptr"" keyword in C++?",Remember
What is the theory that explains the structure of the atom?,Remember
Obtain the state model for the system with transfer function 2Y( ) 3S 4 U( ) 5S 6s ssï«ï½ï«ï«.,Apply
List four types of clauses mentioned in the article,Remember
Summarize a historical document,Understand
"Company directors remain the most important group of people who monitor 
and control the company on behalf of the shareholders. Explain the SIX (6) roles of company directors.",Understand
Conclude the impact of social media on political activism.,Evaluate
How would you use statistical methods to analyze data from a social survey?,Apply
Explain the concept for the nature of building characteristics. ,Understand
Recognize the differences between a gravity dam and an arch dam in dam engineering?,Remember
Write short note on nervous tissue.,Remember
Compare the different types of web application firewalls (WAFs) in terms of their detection capabilities and deployment options.,Understand
Can you integrate artificial intelligence into a customer support chat system?,Create
Explain any two types of resistive transducers.,Understand
What are the structure or functions of Congress,Remember
Evaluate the impact of social media on society.,Evaluate
Invent a new approach for enhancing the durability of concrete structures in marine environments through advanced surface treatments and corrosion-resistant materials.,Create
With suitable example write short note on the fractal lines.,Analyze
Short note on Optimum proportions of a vessel.,Remember
"As an RF engineer, you are optimizing the coverage of a cellular network in an urban area. Describe how you would apply cell planning techniques and antenna diversity strategies to improve signal strength and minimize interference.",Apply
Devise a system for automatically analyzing network traffic patterns to detect and prevent insider threats and unauthorized access in organizational networks.,Create
State any 4 use of single phase induction motor?,Remember
How does...compare/contrast with...?,Analyze
Draw neat diagram of Op Amp as a Schmitt trigger and explain its working.,Remember
Explain the factors affecting the concrete mix design.,Remember
"Propose innovative solutions for optimizing energy efficiency in HVAC (heating, ventilation, and air conditioning) systems for buildings.",Apply
Explain the Securities Act of 1933 and the Securities Exchange Act of 1934. ,Understand
Compare two innovative solutions to a common problem.,Evaluate
What is time constant? State time constant in case of Series R-L circuit and series R-C circuit.,Remember
A lubricating oil of viscosity of 10 poise and specific gravity 0.,Apply
What is the procedure for solving a quadratic equation using the quadratic formula?,Remember
What observations and precautions are necessary during Core Drilling for Preliminary Geological Exploration?,Remember
Draw a color wheel diagram with primary and secondary color. ,Understand
Explain any four selection parameters of PLC also enlist functions of PLC.,Remember
"Explain earth pressure at rest, active earth pressure and passive earth pressure w.r.t. wall movement with sketches.",Remember
How do you approach understanding information from multiple sources?,Understand
Explain THREE (3) advantages of using aluminium to fabricate roof gutter. ,Understand
Differentiate primary and secondary reserves of a bank. List THREE (3) examples for each reserve. ,Analyze
"You are designing an identity and access management (IAM) system for a global enterprise to manage user identities and access privileges across distributed IT environments. Create an IAM architecture that centralizes user authentication, authorization, and access control policies, supporting single sign-on (SSO), multi-factor authentication (MFA), and role-based access control (RBAC) for secure and seamless access to resources.",Create
Calculate moment at supports for the frame as shown in figure 7 by moment distribution method and draw BMD.,Analyze
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluate
"A software development team is considering adopting a microservices architecture for a new web application project. Evaluate the advantages and disadvantages of microservices compared to monolithic architecture in terms of scalability, maintainability, and deployment complexity. Recommend the most suitable architecture based on project requirements and long-term scalability goals.",Evaluate
What is Plate linearization curve and its requirement in prepress?,Remember
Discuss in detail drilling as a method of subsurface geological explortion.,Remember
Explain briefly how the aggregation processes could improve the water quality in a water treatment plant. ,Understand
Let's discuss the benefits of exercise on mental health.,Understand
What is halftone and how it is created.,Remember
Calculate the electric potential energy of a charged object.,Apply
Differentiate between classical and operant conditioning.,Understand
Can you tell me how to create a simple origami figure?,Remember
Write note on High and low temperature materials with example.,Remember
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Suggest and explain a method to elute protein X from the column. ",Create
How do you break down a complex musical composition into its melodic and harmonic elements?,Analyze
Discuss in details role of Encoder in robotic system.,Remember
Two identical soil specimens were tested in a triaxial apparatus. First specimen was failed at a deviator stress of 700 kN/m2 when the cell pressure was 200 kN/m2. Second specimen was failed at a deviator stress of 1300 kN/m2 when the cell pressure was 400 kN/m2. Determine cohesion of soil and angle of internal friction of soil analytically.,Apply
Debate the ethical considerations of using exoskeletons for military applications and soldier augmentation.,Evaluate
Explain Vant Hoff Boyles law and Vant Hoff Charles law and combine form.,Analyze
Write short note on âThe Ostrich algorithmâ.,Remember
State the classification and applications of Photogrammetry in surveying?,Remember
Recite the key principles of a philosophy or belief system you follow.,Remember
Draw and explain successive approximation A/D converter.,Remember
Compare the advantages and limitations of using batch gradient descent and stochastic gradient descent optimization techniques in training neural networks.,Analyze
Can you invent a new method for utilizing kinetic energy from moving vehicles?,Create
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analyze
"Optimization of medium and culture conditions of a fermentation process can be conducted by using multifactor experimental design or response surface optimization. With aid of a flow chart, compare and contrast these two methods.",Analyze
How landslides can be prevented?,Apply
How would you feel if . . .?,Evaluate
"Plan a comprehensive disaster preparedness and response strategy for a coastal city vulnerable to hurricanes, including evacuation routes, emergency shelters, and early warning systems.",Create
How would you restate that idea in simpler terms?,Understand
"Compare the features and performance of different recommendation systems (e.g., collaborative filtering, content-based filtering, matrix factorization) in personalized recommendation tasks.",Analyze
How would you classify the different types of communication styles?,Analyze
Give TWO advantages of X-Ray Photoelectron Spectroscopy (XPS). ,Understand
Devise a framework for evaluating the interpretability and trustworthiness of machine learning models in critical decision-making applications.,Create
Define terms.,Understand
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,Remember
Differentiate Between Flame Hardening and Induction hardening.,Analyze
Explain working of flash ADC in details.,Understand
Write a program to create files using constructor function.,Remember
What is operator overloading? Write a program to overload Unary operator.,Remember
Explain Classification of channel bottom slopes with neat sketches.,Remember
Summarize the key points of a historical analysis.,Evaluate
"Suppose you're tasked with implementing a data backup strategy for a large enterprise. Describe the factors you would consider in choosing between incremental backups, differential backups, and full backups for different types of data.",Understand
Bankerâs algorithm is used for deadlock avoidance. Explain.,Remember
"Contrast the characteristics of imperative programming languages (e.g., C, Python) and functional programming languages (e.g., Haskell, Scala).",Analyze
Suggest a possible Java Web architecture(s) for the proposed application based on the case study.,Create
Find directional derivative of ïª = e2x cos ( yz) at the origin in the direction tangent to the curve r = a sin t + i + a cos t j + at k at t = 4ï°.,Apply
"Interpret the concept of strain energy and its significance in mechanical design, discussing its relationship with material properties and deformation.",Understand
What conclusions can you draw by combining insights from different philosophical theories?,Create
Discuss and show the impact of CRM strategies in the telecommunication sector.,Apply
Revise the story and specify the type of audience that would enjoy this book.,Evaluate
Analyze the data to identify patterns and trends.,Analyze
Draw the market demand and supply curve. ,Understand
The postorder and inorder traversals of a binary tree are given below.,Understand
Outline the major events of a historical time period.,Analyze
What are various types of Stepper motors?,Remember
Compose a simple rap or rhyme about zoo animals.,Create
"Compare the various programming paradigms (e.g., procedural, object-oriented, functional) in terms of their approach to problem-solving and code organization.",Understand
Calculate the fitness function for all chromosomes in the population.,Apply
"You are leading a team of IT architects in designing a hybrid cloud infrastructure for a multinational corporation. Create a hybrid cloud architecture that seamlessly integrates on-premises data centers with public cloud services, incorporating workload migration strategies, data synchronization mechanisms, and security controls for hybrid cloud environments.",Create
Describe characteristics and importance of secondary market.,Understand
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and South Africa.,Understand
Explain the process of neurotransmission in the brain.,Understand
Assess the effectiveness of a data loss prevention (DLP) solution in preventing unauthorized data exfiltration and leakage.,Evaluate
"MLPs are frequently used to approximate functions. However, the quality of the approximation depends on the parameters of the MLP used. Discuss how this quality is affected by the number of hidden layers used in the MLP.",Understand
Write the short note on application of PLL,Remember
Write short note on applications of recorders.,Apply
"A symmetric I section is having two flanges, each of 300 mm Ã 20 mm and vertical web of 20 mm thickness and 160 mm depth. The beam issubjected to shear force 200 kN. Draw Shear Force Distribution diagram.",Apply
Identify and describe the FOUR (4) criteria for judging economic outcomes. ,Understand
Explain extrusion of plastic.,Analyze
Explain the classification of Alloy Steel with respect to the relation with carbon.,Remember
Discuss TWO hypotheses for invasive plants to become successful outside of their native ranges. ,Understand
Discriminate between varying perspectives on the effects of globalization.,Evaluate
Explain the types of HMI?,Analyze
Explain working of Horizontal axis type wind turbine with diagram.,Understand
Write a short note on interpolation and approximation.,Remember
Enterprise Application and explain with examples.,Remember
Restate the central message of the motivational speech.,Understand
State any FOUR (4) characteristics of valuable information.,Remember
Define software testing?,Remember
With suitable diagram explain working of resistive transducers.,Apply
"Design the adjustable voltage regulator for the following specification output voltage = 5V â 10V I0 = 1.2 A, Iadj = 100ï­A, R1 = 240ïï®",Apply
Explain reading character and string from input console with suitable examples.,Understand
Explain how the verticality of tall building is checked?,Apply
Write functions for RR and RL rotation with respect to AVL tree.,Apply
"Suppose firms in industry Y are having an increase in demand. By using appropriate diagrams, explain the effect of an increase in demand and how industry Y achieves the long-run equilibrium in perfect competition. ",Analyze
"Contrast the characteristics of narrowband and spread spectrum communication systems, discussing their respective advantages and limitations.",Analyze
Support your argument on the benefits of renewable energy adoption.,Evaluate
Elaborate the term of national income as used in building economics.,Understand
How do you build a structurally sound bridge?,Create
"Compare the efficiency of different foundation systems (e.g., shallow foundation, deep foundation, pile foundation) in supporting structures on various soil types and ground conditions.",Analyze
Summarize the cultural impact of a historical event.,Understand
Write short note on plate tectonic.,Remember
"Evaluate the impact of different caching strategies (e.g., write-through, write-behind, cache-aside) on reducing latency and improving data access speed in web applications.",Analyze
"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.â Comment and justify the above statement with an appropriate diagram. ",Evaluate
Explain Linux thread management in detail.,Remember
What is a global variable?,Remember
State any six properties of fourier transform.,Remember
How do you infer the cultural influences on a piece of literature?,Analyze
Explain the working of Electronic Ignition system with neat sketch.,Understand
Draw the architecture of 8086. And enlist the features of it.,Remember
"Compare the structural performance of different beam configurations (e.g., simply supported beam, cantilever beam, continuous beam) under various loading conditions.",Analyze
Explain about predefined streams in Java.,Understand
Find the Trignometric Fourier Series for the periodic bidirectional symmetric square waveform below.,Apply
Propose a novel approach for integrating blockchain technology into supply chain management systems to enhance transparency and traceability.,Create
A rectangular beam 150 mm wide and 300 mm deep is subjected to maximum shear force of 80 KN Determine Average shear stress andMaximum shear stress.,Apply
"From your opinion, explain which one of the methods mentioned earlier is better for the given token stream.",Analyze
Design wien bridge oscillator using operational amplifier for output frequency of 5KHz.,Apply
"Explain in detail the working of dynamometer types wattmeter with a neat diagram. Also, state its advantages and disadvantages.",Remember
What steps are involved in composing a thought-provoking essay?,Create
List THREE (3) usages of instructional materials to facilitate classroom teaching and learning process. ,Remember
You are developing a sustainable packaging solution for a consumer product company. Discuss how you would apply life cycle assessment (LCA) methodology and environmental impact analysis to evaluate the eco-friendliness of different packaging materials and manufacturing processes.,Apply
"Evaluate the reliability of different error correction codes (e.g., Reed-Solomon, Turbo codes, LDPC codes) in mitigating channel noise and improving data transmission reliability.",Analyze
Explain the importance of using initial rate to determine enzymatic activity.,Understand
Invent a method for harnessing ocean wave energy to generate electricity for coastal communities and offshore facilities.,Create
Explain in detail file systems and its implementation.,Remember
In the model test of a spillway the discharge and velocity of flow over the model were 2.,Apply
Recognize subjectivity in a discussion about the best movie of all time.,Evaluate
Identify what types of brickwork defects that require rejection from the supervisor. ,Remember
Describe briefly the experimental flow of fluorescent in situ hybridization (FISH). List THREE of its major applications. ,Understand
How O.,Understand
Can you invent a new method for efficient waste disposal?,Create
Can you identify the dependencies between different factors in a complex economic model?,Analyze
Use philanthropy approach to manage corporate social responsibility effectively.,Apply
Measure the financial performance of a company.,Evaluate
Explain white cast iron with its composition.,Remember
"Compare the features and performance of different wastewater treatment technologies (e.g., activated sludge process, trickling filter, membrane bioreactor) in purifying sewage effluent.",Analyze
Explain ISO 9000 and its importance.,Remember
"Differentiate between interpreted and compiled programming languages, discussing their advantages and disadvantages in software development.",Understand
State the types of flat terraced roofing and explain any one of them.,Remember
How would you classify the different forms of communication channels?,Analyze
Analyze the patterns in consumer buying behavior to inform marketing strategies.,Analyze
in what ways trajectory patterns differ according to ABC,Analyze
Outline the most important insight of the tale.,Understand
What is Piggybacking?,Remember
Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example. ,Evaluate
How do you design an energy-efficient transportation system for a metropolitan area?,Create
"By assuming other factors (pH, water content and etc.) are being equal in clay loam and sandy loam, state which soil would be expected to have higher organic matter content. Justify your answer. ",Evaluate
Explain Architecture of parallel databases.,Remember
Solve the algebraic equation for the unknown variable.,Apply
Tabulate the differences between HTTP and HTTPS protocols in terms of security mechanisms?,Remember
Can you tell me a story from your life that had a profound impact on you?,Remember
With suitable diagram explain polarity test on transformer.,Understand
Enlist the  limitations of the prevalent survey techniques and also give advantages of Space Based positioning System?,Remember
Provide a tabulated chart of the nutritional content of different fruits.,Remember
Examine the two roles and show how newspaper managers can successfully draw a balance between their economic role and social role.   ,Analyze
Provide three (3) situations whereby it will be useful to use reference variables as parameters.,Remember
Describe any types of output devices of computer.,Remember
